date,location,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations,daily_vaccinations_raw
2021-01-17,Brazil,379784,8393492,6786,208246,112.0,,,,
2021-01-18,Brazil,0,8393492,0,208246,1109.0,,,997.0,997.0
2021-01-19,Brazil,0,8393492,0,208246,13527.0,,,6708.0,12418.0
2021-01-20,Brazil,0,8393492,0,208246,105824.0,,,35237.0,92297.0
2021-01-21,Brazil,0,8393492,0,208246,193699.0,,,48397.0,87875.0
2021-01-22,Brazil,0,8393492,0,208246,462269.0,,,92431.0,268570.0
2021-01-23,Brazil,0,8393492,0,208246,573268.0,,,95526.0,110999.0
2021-01-24,Brazil,360428,8753920,6997,215243,613954.0,,,87692.0,40686.0
2021-01-25,Brazil,0,8753920,0,215243,801759.0,,,114379.0,187805.0
2021-01-26,Brazil,0,8753920,0,215243,1045746.0,,,147460.0,243987.0
2021-01-27,Brazil,0,8753920,0,215243,1327546.0,,,174532.0,281800.0
2021-01-28,Brazil,0,8753920,0,215243,1563098.0,,,195628.0,235552.0
2021-01-29,Brazil,0,8753920,0,215243,1923813.0,,,208792.0,360715.0
2021-01-30,Brazil,0,8753920,0,215243,2046523.0,,,210465.0,122710.0
2021-01-31,Brazil,364593,9118513,7423,222666,2084119.0,,,210024.0,37596.0
2021-02-01,Brazil,0,9118513,0,222666,2292551.0,,,212970.0,208432.0
2021-02-02,Brazil,0,9118513,0,222666,2521704.0,,,210851.0,229153.0
2021-02-03,Brazil,0,9118513,0,222666,2802134.0,,,210655.0,280430.0
2021-02-04,Brazil,0,9118513,0,222666,3074906.0,,,215973.0,272772.0
2021-02-05,Brazil,0,9118513,0,222666,3399421.0,1962.0,,211081.0,326477.0
2021-02-06,Brazil,0,9118513,0,222666,3534004.0,19677.0,,215308.0,152298.0
2021-02-07,Brazil,328652,9447165,7368,230034,3579850.0,25688.0,,217346.0,51857.0
2021-02-08,Brazil,0,9447165,0,230034,3786591.0,33616.0,,218237.0,214669.0
